Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,Delivery,Action,Action_mean,Deliverble_mean,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2021-03-30,TATAMOTORS,EQ,296.4,300.5,301.3,292.7,297.05,297.05,296.64,45257627,1342532571515000.0,267495,5114972,11.3,169.19,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,TATAMOTORS,EQ,297.05,299.0,307.5,297.5,301.45,301.8,303.68,58569012,1778639969380000.0,325482,7088954,12.1,179.95,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,TATAMOTORS,EQ,301.8,306.75,309.85,303.05,307.25,307.75,306.29,44088352,1350381654980000.0,268091,4813315,10.92,164.45,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-04-05,TATAMOTORS,EQ,307.75,306.8,311.7,297.2,305.5,305.05,304.12,66178755,2012616922384999.8,346981,5081702,7.68,190.73,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,100,0,0,0,0,0
2021-04-06,TATAMOTORS,EQ,305.05,306.15,313.8,304.8,308.0,307.75,309.29,63031783,1949503037984999.8,313806,7675387,12.18,200.86,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-07,TATAMOTORS,EQ,307.75,306.75,310.65,305.1,307.65,307.8,308.53,39073986,1205535369230000.0,194930,4952057,12.67,200.45,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0
2021-04-08,TATAMOTORS,EQ,307.8,307.9,319.8,307.5,314.0,313.95,315.34,62459774,1969633582684999.8,329382,9456962,15.14,189.63,134.59,20.02,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-09,TATAMOTORS,EQ,313.95,313.2,325.0,312.5,317.55,318.2,320.77,75462572,2420590060615000.0,412742,8649296,11.46,182.83,134.59,20.02,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-12,TATAMOTORS,EQ,318.2,307.85,307.85,282.9,287.5,286.55,292.83,105342538,3084725598155000.0,687082,20366565,19.33,153.32,134.59,20.02,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-13,TATAMOTORS,EQ,286.55,287.25,304.55,280.55,302.0,302.85,293.11,116874853,3425665088830000.0,571436,8020613,6.86,204.53,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-15,TATAMOTORS,EQ,302.85,303.0,307.55,296.5,302.2,303.5,301.87,75262749,2271945345745000.0,397148,7009105,9.31,189.51,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-04-16,TATAMOTORS,EQ,303.5,302.0,315.0,300.15,308.75,310.0,310.71,75330709,2340607756315000.0,408104,8967594,11.9,184.59,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-19,TATAMOTORS,EQ,310.0,295.0,304.5,292.8,301.7,301.4,299.92,65791784,1973209226055000.0,368946,6807491,10.35,178.32,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-20,TATAMOTORS,EQ,301.4,307.7,308.15,294.2,297.4,298.05,301.99,56740291,1713493399160000.0,293573,6928884,12.21,193.27,134.59,20.02,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-22,TATAMOTORS,EQ,298.05,294.0,302.5,292.2,294.5,294.55,296.94,61022978,1812045426415000.2,324395,6645492,10.89,188.11,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,-100,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-04-23,TATAMOTORS,EQ,294.55,291.0,300.0,290.5,293.2,294.0,295.04,58158986,1715907814965000.0,301111,5596892,9.62,193.15,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-26,TATAMOTORS,EQ,294.0,297.0,299.0,294.6,295.85,295.4,296.48,30583139,906738645495000.1,173282,3291167,10.76,176.49,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0
2021-04-27,TATAMOTORS,EQ,295.4,295.7,302.5,295.1,302.1,301.5,299.05,35040532,1047879314215000.0,191627,5215100,14.88,182.86,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2021-04-28,TATAMOTORS,EQ,301.5,303.5,309.5,303.0,305.15,305.9,307.22,44668126,1372277783930000.0,264159,5116568,11.45,169.1,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0
2021-04-29,TATAMOTORS,EQ,305.9,308.9,310.0,301.25,302.2,301.9,304.77,36647292,1116899790029999.9,186996,4193346,11.44,195.98,134.59,20.02,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30,TATAMOTORS,EQ,301.9,298.2,301.3,292.55,293.1,293.85,297.01,36121668,1072848726265000.0,227806,7898988,21.87,158.56,134.59,20.02,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-03,TATAMOTORS,EQ,293.85,289.3,294.75,285.0,293.1,293.0,290.96,35376618,1029331776429999.9,217697,3726649,10.53,162.5,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-04,TATAMOTORS,EQ,293.0,296.35,299.75,288.05,289.95,289.45,293.92,38640006,1135688261415000.0,215522,5558961,14.39,179.29,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-05,TATAMOTORS,EQ,289.45,293.5,293.9,288.5,292.25,291.5,291.05,29350536,854255790775000.0,172820,2646374,9.02,169.83,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06,TATAMOTORS,EQ,291.5,291.5,302.0,290.3,301.05,301.25,297.01,45032502,1337521730380000.0,253096,8279822,18.39,177.93,134.59,20.02,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-07,TATAMOTORS,EQ,301.25,303.0,305.95,300.5,301.45,302.75,303.34,41591323,1261647588985000.0,232673,5787627,13.92,178.75,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-05-10,TATAMOTORS,EQ,302.75,304.5,315.7,304.0,314.35,314.85,310.52,53260388,1653842798110000.0,304985,11043342,20.73,174.63,134.59,20.02,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-11,TATAMOTORS,EQ,314.85,309.55,320.75,308.1,314.45,315.55,316.17,58472304,1848703605234999.8,341891,8734226,14.94,171.03,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-12,TATAMOTORS,EQ,315.55,318.25,334.75,316.25,325.55,326.0,326.37,111584920,3641791030894999.5,627410,13243941,11.87,177.85,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-14,TATAMOTORS,EQ,326.0,329.35,329.5,310.0,312.6,312.25,318.19,81305325,2587043040485000.0,446741,10717834,13.18,182.0,134.59,20.02,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-17,TATAMOTORS,EQ,312.25,315.4,323.85,311.4,321.75,321.1,317.96,51162423,1626758278640000.0,322456,4843462,9.47,158.66,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-18,TATAMOTORS,EQ,321.1,325.95,336.65,324.0,332.0,332.45,331.11,86153088,2852617191265000.0,507559,11382641,13.21,169.74,134.59,20.02,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-19,TATAMOTORS,EQ,332.45,313.0,322.95,312.1,314.1,314.45,316.24,119407026,3776145938619999.5,682512,20058292,16.8,174.95,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-20,TATAMOTORS,EQ,314.45,316.0,316.6,306.1,308.0,307.7,310.47,54043899,1677895002440000.0,332716,8163378,15.11,162.43,134.59,20.02,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-21,TATAMOTORS,EQ,307.7,312.0,315.7,309.5,312.4,313.1,312.81,40358753,1262471843875000.0,235409,5773365,14.31,171.44,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0
2021-05-24,TATAMOTORS,EQ,313.1,314.75,315.8,310.2,311.8,311.85,313.24,31963997,1001229979585000.0,203153,4710909,14.74,157.34,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-05-25,TATAMOTORS,EQ,311.85,315.55,319.0,313.85,314.9,315.25,316.69,37382263,1183854819900000.0,235654,4998419,13.37,158.63,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-05-26,TATAMOTORS,EQ,315.25,316.1,320.0,314.8,315.15,315.5,317.63,28639717,909692303675000.0,182798,4024214,14.05,156.67,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-05-27,TATAMOTORS,EQ,315.5,317.05,323.45,316.55,319.0,318.6,320.59,49484106,1586422596310000.0,310012,11412784,23.06,159.62,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0
2021-05-28,TATAMOTORS,EQ,318.6,322.65,324.5,316.5,319.8,318.75,320.4,26618815,852864013835000.0,189082,4490761,16.87,140.78,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2021-05-31,TATAMOTORS,EQ,318.75,318.7,319.75,312.1,318.9,318.75,316.65,30917309,979000768200000.0,195958,4625553,14.96,157.78,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2021-06-01,TATAMOTORS,EQ,318.75,319.2,325.7,317.3,318.3,318.1,320.48,32595728,1044616776504999.9,227553,4386040,13.46,143.24,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-02,TATAMOTORS,EQ,318.1,315.95,324.4,315.6,322.9,323.0,320.96,26323777,844889233415000.0,157758,7866813,29.88,166.86,134.59,20.02,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-03,TATAMOTORS,EQ,323.0,325.3,327.7,323.65,324.95,325.65,325.92,21408371,697740879845000.0,151971,5395009,25.2,140.87,134.59,20.02,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0
2021-06-04,TATAMOTORS,EQ,325.65,325.15,336.9,324.25,336.8,334.95,330.33,41278749,1363569741540000.0,257144,12603426,30.53,160.53,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-07,TATAMOTORS,EQ,334.95,339.75,351.0,339.75,344.35,345.5,346.4,64986814,2251144512759999.8,454768,12141141,18.68,142.9,134.59,20.02,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-08,TATAMOTORS,EQ,345.5,346.25,356.65,337.5,356.5,352.75,346.15,44104954,1526703955015000.0,280211,6886102,15.61,157.4,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-09,TATAMOTORS,EQ,352.75,356.2,358.9,339.75,343.55,343.35,350.63,59334814,2080478807545000.0,364388,7909760,13.33,162.83,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-10,TATAMOTORS,EQ,343.35,345.2,347.85,342.4,345.05,344.75,345.05,24351860,840261147595000.0,173167,3728297,15.31,140.63,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,100,-100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0
2021-06-11,TATAMOTORS,EQ,344.75,346.0,352.9,344.35,350.0,350.75,349.49,36441967,1273625449720000.0,238009,7752772,21.27,153.11,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2021-06-14,TATAMOTORS,EQ,350.75,350.05,357.9,341.1,355.85,355.95,350.96,38482142,1350568567035000.0,258674,5912785,15.37,148.77,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-15,TATAMOTORS,EQ,355.95,355.75,360.75,351.5,352.0,352.7,356.11,35526159,1265113922010000.0,244448,5715423,16.09,145.33,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-16,TATAMOTORS,EQ,352.7,350.1,356.0,348.1,348.35,349.35,351.5,27550588,968407492579999.9,185607,3436552,12.47,148.44,134.59,20.02,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-06-17,TATAMOTORS,EQ,349.35,348.4,352.9,342.25,344.9,345.65,347.75,29236974,1016730141035000.0,215768,4307709,14.73,135.5,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-06-18,TATAMOTORS,EQ,345.65,345.65,346.9,329.0,338.7,337.4,337.3,49440514,1667621127970000.0,335484,11853384,23.98,147.37,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-21,TATAMOTORS,EQ,337.4,330.9,335.8,326.2,334.0,334.3,331.38,29123887,965106990495000.1,220372,3984920,13.68,132.16,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-22,TATAMOTORS,EQ,334.3,337.1,344.3,336.15,337.25,337.9,341.06,26708459,910908724890000.0,196463,3645588,13.65,135.95,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,0,0,0,0
2021-06-23,TATAMOTORS,EQ,337.9,341.0,343.25,334.3,335.5,335.25,338.98,25741628,872592133125000.0,163850,3796141,14.75,157.1,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-24,TATAMOTORS,EQ,335.25,335.0,337.4,333.35,335.3,334.65,335.51,15580223,522737796139999.94,119970,2603785,16.71,129.87,134.59,20.02,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0
2021-06-25,TATAMOTORS,EQ,334.65,335.9,342.8,335.9,339.1,339.65,340.03,22426352,762574231495000.0,162950,3345310,14.92,137.63,134.59,20.02,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-28,TATAMOTORS,EQ,339.65,340.8,345.0,337.55,343.0,342.8,341.0,17843975,608488041000000.0,128540,2803029,15.71,138.82,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0
2021-06-29,TATAMOTORS,EQ,342.8,342.65,346.5,339.6,342.3,341.55,343.24,22462297,770994047845000.0,166772,3533086,15.73,134.69,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2021-06-30,TATAMOTORS,EQ,341.55,342.0,345.35,338.85,340.0,339.6,342.64,18277841,626263034530000.0,144643,2815163,15.4,126.37,134.59,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
