acctid,repid,repname,name,acctname,value,model,profile,opened,e-mail,phone,dob,1mo,1yr,3yr,ytd,inception
901122740,AR4K,ABC FINANCIAL,JOHN SMITH,Taxable,1162761.59,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,370 385 0325,5/12/1955,2.00%,4.00%,4.00%,1.50%,1.50%
901783640,AR4K,ABC FINANCIAL,JAMES JONES,Taxable,900455.95,Moderate Portfolio,Balanced,10/24/2017,client@gmail.com,358 385 0325,3/25/1963,4.10%,7.90%,8.50%,4.20%,4.20%
901835570,AR4K,ABC FINANCIAL,SHARON HARRIS,Taxable,629922.9,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,357 385 0325,3/18/1936,4.10%,7.90%,8.50%,4.20%,4.20%
903684690,AR4K,ABC FINANCIAL,LORI NEAL,Taxable,3014.71,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,332 385 0325,4/25/1955,4.10%,7.90%,8.50%,4.20%,4.20%
906520600,AR4K,ABC FINANCIAL,NEAL NAVARO,Taxable,405784.14,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,349 385 0325,8/21/1966,4.10%,7.90%,8.50%,4.20%,4.20%
908223080,AR4K,ABC FINANCIAL,JANET ROW,Taxable,22509.45,Moderate Portfolio,Balanced,2/6/2018,client@gmail.com,354 385 0325,12/11/1973,4.10%,7.90%,8.50%,4.20%,4.20%
911032842,AR4K,ABC FINANCIAL,EDDIE KROVITZ,IRA ,109937.24,Moderate Portfolio,Balanced,10/24/2017,client@gmail.com,363 385 0325,11/5/1990,4.10%,7.90%,8.50%,4.20%,4.20%
911954714,AR4K,ABC FINANCIAL,EDDIE KROVITZ,IRA ,845273.56,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,318 385 0325,10/14/1957,4.10%,7.90%,8.50%,4.20%,4.20%
911955318,AR4K,ABC FINANCIAL,CINDY ZALEWSKI,IRA ,88155.54,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,317 385 0325,11/16/1956,12.20%,64.90%,37.90%,4.40%,4.40%
912052187,AR4K,ABC FINANCIAL,CINDY ZALEWSKI,IRA ,318.66,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,342 385 0325,5/22/1977,4.70%,8.50%,10.80%,19.60%,19.60%
912052563,AR4K,ABC FINANCIAL,CINDY ZALEWSKI,IRA ,337.6,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,337 385 0325,10/10/1974,2.10%,14.20%,4.90%,0.50%,0.50%
912059313,AR4K,ABC FINANCIAL,SHANNON SHARP,ROTH  ,148.67,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,343 385 0325,5/22/1977,3.20%,18.50%,19.60%,10.20%,10.20%
912970756,AR4K,ABC FINANCIAL,SHANNON SHARP,ROTH  ,50484.26,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,344 385 0325,5/22/1977,1.10%,15.20%,9.10%,5.30%,5.30%
912971531,AR4K,ABC FINANCIAL,SHANNON SHARP,ROTH  ,108508.62,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,338 385 0325,10/10/1974,0.00%,0.00%,-2.80%,-3.40%,-3.40%
912975536,AR4K,ABC FINANCIAL,LISA BUTLER,ROTH  ,14352.52,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,345 385 0325,5/22/1977,2.70%,19.60%,6.60%,7.30%,7.30%
912976249,AR4K,ABC FINANCIAL,LISA BUTLER,ROTH  ,23344.48,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,339 385 0325,10/10/1974,5.00%,23.30%,20.60%,7.30%,7.30%
912980430,AR4K,ABC FINANCIAL,LISA BUTLER,IRA,498790.31,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,333 385 0325,4/25/1955,-10.60%,4.90%,22.80%,7.30%,7.30%
915919669,AR4K,ABC FINANCIAL,KATHERINE SANBORN,IRA,619.72,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,341 385 0325,10/4/2009,3.10%,23.80%,13.70%,7.30%,7.30%
915919679,AR4K,ABC FINANCIAL,BARBARA ABBOTT,IRA,619.72,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,340 385 0325,4/27/2007,2.00%,15.40%,9.30%,5.30%,5.30%
916031677,AR4K,ABC FINANCIAL,BARBARA ABBOTT,IRA,77424.94,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,315 385 0325,2/7/1943,2.40%,20.10%,22.30%,14.30%,14.30%
917017821,AR4K,ABC FINANCIAL,BARBARA ABBOTT,IRA,367354.79,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,365 385 0325,12/17/1993,0.00%,7.90%,14.60%,-3.10%,-3.10%
917935420,AR4K,ABC FINANCIAL,JOE COAN,IRA,107302.95,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,346 385 0325,12/21/1964,4.70%,11.10%,10.20%,7.30%,7.30%
920938670,AR4K,ABC FINANCIAL,JOE COAN,IRA,17775.56,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,319 385 0325,5/15/1971,2.00%,-5.70%,-1.50%,-3.40%,-3.40%
920954280,AR4K,ABC FINANCIAL,JOE COAN,IRA,1158983.51,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,356 385 0325,11/12/1930,-1.40%,-21.80%,-7.90%,-3.40%,-3.40%
920954290,AR4K,ABC FINANCIAL,JOE COAN,IRA,80246.02,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,322 385 0325,6/16/1969,1.20%,15.20%,8.10%,3.60%,3.60%
